time,temperature_2m,relative_humidity_2m,wind_speed_10m
2025-10-12 00:00:00,19.6,89,14.0
2025-10-12 01:00:00,19.2,90,16.4
2025-10-12 02:00:00,18.4,94,11.9
2025-10-12 03:00:00,16.9,96,10.5
2025-10-12 04:00:00,17.1,96,9.7
2025-10-12 05:00:00,17.0,96,7.6
2025-10-12 06:00:00,16.9,97,10.6
2025-10-12 07:00:00,17.2,95,14.3
2025-10-12 08:00:00,17.5,92,16.0
2025-10-12 09:00:00,18.7,87,18.7
2025-10-12 10:00:00,18.0,82,22.5
2025-10-12 11:00:00,18.2,73,22.4
2025-10-12 12:00:00,17.5,70,22.2
2025-10-12 13:00:00,18.3,66,21.0
2025-10-12 14:00:00,18.0,66,21.4
2025-10-12 15:00:00,17.1,73,22.2
2025-10-12 16:00:00,17.4,68,22.2
2025-10-12 17:00:00,16.2,72,22.6
2025-10-12 18:00:00,15.6,73,22.1
2025-10-12 19:00:00,14.8,73,20.7
2025-10-12 20:00:00,13.8,78,17.8
2025-10-12 21:00:00,13.2,81,16.1
2025-10-12 22:00:00,12.8,84,16.1
2025-10-12 23:00:00,12.5,86,15.6
2025-10-13 00:00:00,12.8,85,14.6
2025-10-13 01:00:00,13.1,89,9.5
2025-10-13 02:00:00,13.7,91,9.7
2025-10-13 03:00:00,14.3,87,14.8
2025-10-13 04:00:00,14.4,87,16.9
2025-10-13 05:00:00,14.6,88,15.1
2025-10-13 06:00:00,14.8,88,17.6
2025-10-13 07:00:00,14.9,87,18.0
2025-10-13 08:00:00,15.1,88,18.8
2025-10-13 09:00:00,16.1,84,25.5
2025-10-13 10:00:00,16.6,81,27.5
2025-10-13 11:00:00,17.5,77,28.7
2025-10-13 12:00:00,18.6,69,30.9
2025-10-13 13:00:00,18.5,71,28.9
2025-10-13 14:00:00,18.6,71,26.9
2025-10-13 15:00:00,18.5,74,25.4
2025-10-13 16:00:00,18.6,72,24.0
2025-10-13 17:00:00,18.2,75,19.1
2025-10-13 18:00:00,17.9,78,15.0
2025-10-13 19:00:00,16.8,83,8.9
2025-10-13 20:00:00,15.2,91,4.5
2025-10-13 21:00:00,14.8,91,2.3
2025-10-13 22:00:00,14.6,90,1.1
2025-10-13 23:00:00,14.0,93,1.6
2025-10-14 00:00:00,13.2,97,1.9
2025-10-14 01:00:00,12.7,100,2.5
2025-10-14 02:00:00,12.3,100,3.8
2025-10-14 03:00:00,11.2,100,3.1
2025-10-14 04:00:00,11.3,100,2.6
2025-10-14 05:00:00,11.7,100,2.4
2025-10-14 06:00:00,11.7,100,2.6
2025-10-14 07:00:00,11.9,100,4.1
2025-10-14 08:00:00,13.4,99,4.3
2025-10-14 09:00:00,17.0,88,6.8
2025-10-14 10:00:00,19.7,78,7.9
2025-10-14 11:00:00,21.6,68,8.7
2025-10-14 12:00:00,22.9,62,9.6
2025-10-14 13:00:00,23.9,57,9.5
2025-10-14 14:00:00,24.5,53,8.4
2025-10-14 15:00:00,25.0,50,6.7
2025-10-14 16:00:00,24.8,50,5.9
2025-10-14 17:00:00,22.9,58,7.6
2025-10-14 18:00:00,21.0,68,9.7
2025-10-14 19:00:00,18.5,80,8.5
2025-10-14 20:00:00,16.7,83,6.8
2025-10-14 21:00:00,15.6,85,4.4
2025-10-14 22:00:00,15.0,89,4.0
2025-10-14 23:00:00,15.1,89,7.7
2025-10-15 00:00:00,15.4,81,12.3
2025-10-15 01:00:00,15.0,77,13.0
2025-10-15 02:00:00,14.2,79,11.3
2025-10-15 03:00:00,13.4,79,11.7
2025-10-15 04:00:00,12.8,77,12.2
2025-10-15 05:00:00,12.3,74,12.3
2025-10-15 06:00:00,11.9,71,12.8
2025-10-15 07:00:00,12.2,73,14.2
2025-10-15 08:00:00,14.1,73,17.5
2025-10-15 09:00:00,16.4,72,19.2
2025-10-15 10:00:00,18.5,67,19.2
2025-10-15 11:00:00,20.2,63,16.8
2025-10-15 12:00:00,21.9,55,17.1
2025-10-15 13:00:00,23.4,52,16.1
2025-10-15 14:00:00,24.2,51,14.9
2025-10-15 15:00:00,24.9,49,15.1
2025-10-15 16:00:00,24.9,48,14.7
2025-10-15 17:00:00,24.5,48,13.1
2025-10-15 18:00:00,23.1,56,8.4
2025-10-15 19:00:00,20.5,68,5.0
2025-10-15 20:00:00,18.8,73,3.8
2025-10-15 21:00:00,17.9,76,4.0
2025-10-15 22:00:00,17.4,81,5.0
2025-10-15 23:00:00,17.4,86,6.9
2025-10-16 00:00:00,17.4,90,7.9
2025-10-16 01:00:00,17.2,92,7.1
